MOFED version '4.9-2.2.6' not available in this container.
No matching alternate version found.
GAT(
  (initial_gat): GATv2Conv(512, 256, heads=1)
  (gat1): GATv2Conv(256, 256, heads=1)
  (gat2): GATv2Conv(256, 256, heads=1)
  (gat3): GATv2Conv(256, 256, heads=1)
  (gat4): GATv2Conv(256, 256, heads=1)
  (gat5): GATv2Conv(256, 256, heads=1)
  (gat6): GATv2Conv(256, 256, heads=1)
  (gat7): GATv2Conv(256, 256, heads=1)
  (out): Linear(512, 4, bias=True)
)
Number of parameters:  1189892

Epoch: 000, Loss: 1.4271, Train Acc: 0.2067, Val Acc: 0.2800
Epoch: 001, Loss: 1.4006, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 002, Loss: 1.4050, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 003, Loss: 1.3971, Train Acc: 0.1800, Val Acc: 0.2400
Epoch: 004, Loss: 1.3948, Train Acc: 0.2267, Val Acc: 0.2800
Epoch: 005, Loss: 1.3759, Train Acc: 0.1600, Val Acc: 0.2400
Epoch: 006, Loss: 1.3830, Train Acc: 0.2400, Val Acc: 0.2800
Epoch: 007, Loss: 1.4285, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 008, Loss: 1.3773, Train Acc: 0.2133, Val Acc: 0.2800
Epoch: 009, Loss: 1.4301, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 010, Loss: 1.4055, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 011, Loss: 1.3774, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 012, Loss: 1.3737, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 013, Loss: 1.4232, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 014, Loss: 1.3740, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 015, Loss: 1.4276, Train Acc: 0.1867, Val Acc: 0.2400
Epoch: 016, Loss: 1.3302, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 017, Loss: 1.3912, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 018, Loss: 1.3228, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 019, Loss: 1.4211, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 020, Loss: 1.3872, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 021, Loss: 1.4470, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 022, Loss: 1.3743, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 023, Loss: 1.3654, Train Acc: 0.2267, Val Acc: 0.2000
Epoch: 024, Loss: 1.3955, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 025, Loss: 1.3453, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 026, Loss: 1.3797, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 027, Loss: 1.3978, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 028, Loss: 1.3693, Train Acc: 0.1867, Val Acc: 0.2400
Epoch: 029, Loss: 1.3789, Train Acc: 0.2667, Val Acc: 0.2400
Epoch: 030, Loss: 1.3869, Train Acc: 0.1867, Val Acc: 0.2400
Epoch: 031, Loss: 1.3812, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 032, Loss: 1.4046, Train Acc: 0.2800, Val Acc: 0.2400
Epoch: 033, Loss: 1.3905, Train Acc: 0.2133, Val Acc: 0.2400
Epoch: 034, Loss: 1.4003, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 035, Loss: 1.4100, Train Acc: 0.2267, Val Acc: 0.2800
Epoch: 036, Loss: 1.3917, Train Acc: 0.2600, Val Acc: 0.2400
Epoch: 037, Loss: 1.4071, Train Acc: 0.2667, Val Acc: 0.2400
Epoch: 038, Loss: 1.4076, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 039, Loss: 1.4013, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 040, Loss: 1.2837, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 041, Loss: 1.3924, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 042, Loss: 1.4059, Train Acc: 0.2400, Val Acc: 0.2000
Epoch: 043, Loss: 1.3712, Train Acc: 0.2733, Val Acc: 0.2000
Epoch: 044, Loss: 1.2373, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 045, Loss: 1.3905, Train Acc: 0.1867, Val Acc: 0.2400
Epoch: 046, Loss: 1.3821, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 047, Loss: 1.4240, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 048, Loss: 1.3937, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 049, Loss: 1.3939, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 050, Loss: 1.3996, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 051, Loss: 1.4140, Train Acc: 0.2600, Val Acc: 0.2000
Epoch: 052, Loss: 1.4567, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 053, Loss: 1.4130, Train Acc: 0.2600, Val Acc: 0.2800
Epoch: 054, Loss: 1.3684, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 055, Loss: 1.4240, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 056, Loss: 1.4246, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 057, Loss: 1.4568, Train Acc: 0.2467, Val Acc: 0.2400
