MOFED version '4.9-2.2.6' not available in this container.
No matching alternate version found.
8layer_HL512_GCN
GCN(
  (initial_conv): GCNConv(512, 512)
  (conv1): GCNConv(512, 512)
  (conv2): GCNConv(512, 512)
  (conv3): GCNConv(512, 512)
  (conv4): GCNConv(512, 512)
  (conv5): GCNConv(512, 512)
  (conv6): GCNConv(512, 512)
  (conv7): GCNConv(512, 512)
  (out): Linear(512, 4, bias=True)
)
Number of parameters:  2103300

Epoch: 000, Loss: 1.3881, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 001, Loss: 1.4082, Train Acc: 0.1800, Val Acc: 0.2400
Epoch: 002, Loss: 1.4254, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 003, Loss: 1.4091, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 004, Loss: 1.3842, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 005, Loss: 1.3707, Train Acc: 0.2067, Val Acc: 0.2400
Epoch: 006, Loss: 1.3891, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 007, Loss: 1.3929, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 008, Loss: 1.4095, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 009, Loss: 1.3884, Train Acc: 0.2200, Val Acc: 0.2800
Epoch: 010, Loss: 1.3944, Train Acc: 0.2333, Val Acc: 0.2000
Epoch: 011, Loss: 1.4031, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 012, Loss: 1.3987, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 013, Loss: 1.3806, Train Acc: 0.2067, Val Acc: 0.2400
Epoch: 014, Loss: 1.4167, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 015, Loss: 1.4369, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 016, Loss: 1.3946, Train Acc: 0.2267, Val Acc: 0.2800
Epoch: 017, Loss: 1.4019, Train Acc: 0.2067, Val Acc: 0.2400
Epoch: 018, Loss: 1.4251, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 019, Loss: 1.3834, Train Acc: 0.2000, Val Acc: 0.2000
Epoch: 020, Loss: 1.4294, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 021, Loss: 1.3909, Train Acc: 0.2600, Val Acc: 0.2400
Epoch: 022, Loss: 1.4040, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 023, Loss: 1.3577, Train Acc: 0.2667, Val Acc: 0.2400
Epoch: 024, Loss: 1.4123, Train Acc: 0.2200, Val Acc: 0.3200
Epoch: 025, Loss: 1.3799, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 026, Loss: 1.3853, Train Acc: 0.2533, Val Acc: 0.2400
Epoch: 027, Loss: 1.3868, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 028, Loss: 1.3764, Train Acc: 0.2067, Val Acc: 0.2400
Epoch: 029, Loss: 1.3925, Train Acc: 0.2733, Val Acc: 0.2400
Epoch: 030, Loss: 1.3516, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 031, Loss: 1.3958, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 032, Loss: 1.4126, Train Acc: 0.2200, Val Acc: 0.2400
Epoch: 033, Loss: 1.4260, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 034, Loss: 1.3969, Train Acc: 0.2067, Val Acc: 0.1600
Epoch: 035, Loss: 1.3689, Train Acc: 0.2600, Val Acc: 0.2800
Epoch: 036, Loss: 1.4112, Train Acc: 0.2667, Val Acc: 0.2400
Epoch: 037, Loss: 1.4238, Train Acc: 0.2400, Val Acc: 0.2800
Epoch: 038, Loss: 1.3707, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 039, Loss: 1.4214, Train Acc: 0.1800, Val Acc: 0.2400
Epoch: 040, Loss: 1.4190, Train Acc: 0.2133, Val Acc: 0.2000
Epoch: 041, Loss: 1.4294, Train Acc: 0.2133, Val Acc: 0.1600
Epoch: 042, Loss: 1.3810, Train Acc: 0.2133, Val Acc: 0.2400
Epoch: 043, Loss: 1.3959, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 044, Loss: 1.4189, Train Acc: 0.2267, Val Acc: 0.2400
Epoch: 045, Loss: 1.4534, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 046, Loss: 1.4164, Train Acc: 0.2467, Val Acc: 0.2400
Epoch: 047, Loss: 1.4130, Train Acc: 0.1667, Val Acc: 0.2400
Epoch: 048, Loss: 1.4222, Train Acc: 0.2400, Val Acc: 0.2400
Epoch: 049, Loss: 1.3878, Train Acc: 0.2667, Val Acc: 0.2400
Epoch: 050, Loss: 1.3800, Train Acc: 0.2067, Val Acc: 0.2400
Epoch: 051, Loss: 1.3542, Train Acc: 0.1933, Val Acc: 0.2400
Epoch: 052, Loss: 1.4034, Train Acc: 0.2333, Val Acc: 0.2800
Epoch: 053, Loss: 1.4166, Train Acc: 0.2400, Val Acc: 0.2800
Epoch: 054, Loss: 1.4111, Train Acc: 0.2000, Val Acc: 0.2400
Epoch: 055, Loss: 1.3940, Train Acc: 0.2333, Val Acc: 0.2400
Epoch: 056, Loss: 1.3835, Train Acc: 0.2333, Val Acc: 0.2800
